id,provincia,categoria,score
1,Esmeraldas,Staff,9.1
1,Esmeraldas,Facilities,8.4
1,Esmeraldas,Cleanliness,8.5
1,Esmeraldas,Comfort,8.5
1,Esmeraldas,Value for money,8.6
1,Esmeraldas,Location,9.1
1,Esmeraldas,Free WiFi,7.5
2,Esmeraldas,Staff,9.4
2,Esmeraldas,Facilities,8.9
2,Esmeraldas,Cleanliness,9.2
2,Esmeraldas,Comfort,9.1
2,Esmeraldas,Value for money,8.6
2,Esmeraldas,Location,9.5
2,Esmeraldas,Free WiFi,7.9
3,Esmeraldas,Staff,9.2
3,Esmeraldas,Facilities,8.5
3,Esmeraldas,Cleanliness,8.9
3,Esmeraldas,Comfort,8.7
3,Esmeraldas,Value for money,8.6
3,Esmeraldas,Location,9.4
3,Esmeraldas,Free WiFi,8.5
4,Esmeraldas,Staff,9.0
4,Esmeraldas,Facilities,9.2
4,Esmeraldas,Cleanliness,9.3
4,Esmeraldas,Comfort,9.3
4,Esmeraldas,Value for money,8.9
4,Esmeraldas,Location,9.4
4,Esmeraldas,Free WiFi,7.9
5,Esmeraldas,Staff,8.9
5,Esmeraldas,Facilities,9.1
5,Esmeraldas,Cleanliness,9.3
5,Esmeraldas,Comfort,9.3
5,Esmeraldas,Value for money,9.0
5,Esmeraldas,Location,8.6
6,Esmeraldas,Staff,8.7
6,Esmeraldas,Facilities,8.7
6,Esmeraldas,Cleanliness,8.8
6,Esmeraldas,Comfort,9.0
6,Esmeraldas,Value for money,8.2
6,Esmeraldas,Location,7.9
6,Esmeraldas,Free WiFi,7.5
7,Esmeraldas,Staff,9.5
7,Esmeraldas,Facilities,8.8
7,Esmeraldas,Cleanliness,8.9
7,Esmeraldas,Comfort,9.2
7,Esmeraldas,Value for money,9.1
7,Esmeraldas,Location,8.9
7,Esmeraldas,Free WiFi,6.4
8,Esmeraldas,Staff,9.2
8,Esmeraldas,Facilities,8.6
8,Esmeraldas,Cleanliness,9.0
8,Esmeraldas,Comfort,8.8
8,Esmeraldas,Value for money,8.5
8,Esmeraldas,Location,7.9
8,Esmeraldas,Free WiFi,7.2
9,Esmeraldas,Staff,9.3
9,Esmeraldas,Facilities,9.4
9,Esmeraldas,Cleanliness,9.4
9,Esmeraldas,Comfort,9.5
9,Esmeraldas,Value for money,9.2
9,Esmeraldas,Location,9.8
