provincia,categoria,score,hotel,puntaje
Esmeraldas,Staff,9.1,La Facha Hostal Restaurant Surf,8.4
Esmeraldas,Facilities,8.4,La Facha Hostal Restaurant Surf,8.4
Esmeraldas,Cleanliness,8.5,La Facha Hostal Restaurant Surf,8.4
Esmeraldas,Comfort,8.5,La Facha Hostal Restaurant Surf,8.4
Esmeraldas,Value for money,8.6,La Facha Hostal Restaurant Surf,8.4
Esmeraldas,Location,9.1,La Facha Hostal Restaurant Surf,8.4
Esmeraldas,Free WiFi,7.5,La Facha Hostal Restaurant Surf,8.4
Esmeraldas,Staff,9.4,"Hotel Casa Arnaldo ""Esmeraldas""",8.9
Esmeraldas,Facilities,8.9,"Hotel Casa Arnaldo ""Esmeraldas""",8.9
Esmeraldas,Cleanliness,9.2,"Hotel Casa Arnaldo ""Esmeraldas""",8.9
Esmeraldas,Comfort,9.1,"Hotel Casa Arnaldo ""Esmeraldas""",8.9
Esmeraldas,Value for money,8.6,"Hotel Casa Arnaldo ""Esmeraldas""",8.9
Esmeraldas,Location,9.5,"Hotel Casa Arnaldo ""Esmeraldas""",8.9
Esmeraldas,Free WiFi,7.9,"Hotel Casa Arnaldo ""Esmeraldas""",8.9
Esmeraldas,Staff,9.2,Hotel la Barca,8.8
Esmeraldas,Facilities,8.5,Hotel la Barca,8.8
Esmeraldas,Cleanliness,8.9,Hotel la Barca,8.8
Esmeraldas,Comfort,8.7,Hotel la Barca,8.8
Esmeraldas,Value for money,8.6,Hotel la Barca,8.8
Esmeraldas,Location,9.4,Hotel la Barca,8.8
Esmeraldas,Free WiFi,8.5,Hotel la Barca,8.8
Esmeraldas,Staff,9.0,Resort Playa Azul Departamentos frente al mar,9.3
Esmeraldas,Facilities,9.2,Resort Playa Azul Departamentos frente al mar,9.3
Esmeraldas,Cleanliness,9.3,Resort Playa Azul Departamentos frente al mar,9.3
Esmeraldas,Comfort,9.3,Resort Playa Azul Departamentos frente al mar,9.3
Esmeraldas,Value for money,8.9,Resort Playa Azul Departamentos frente al mar,9.3
Esmeraldas,Location,9.4,Resort Playa Azul Departamentos frente al mar,9.3
Esmeraldas,Free WiFi,7.9,Resort Playa Azul Departamentos frente al mar,9.3
Esmeraldas,Staff,8.9,Escapaditas a la Playa,8.8
Esmeraldas,Facilities,9.1,Escapaditas a la Playa,8.8
Esmeraldas,Cleanliness,9.3,Escapaditas a la Playa,8.8
Esmeraldas,Comfort,9.3,Escapaditas a la Playa,8.8
Esmeraldas,Value for money,9.0,Escapaditas a la Playa,8.8
Esmeraldas,Location,8.6,Escapaditas a la Playa,8.8
Esmeraldas,Staff,8.7,Hotel Oceanic Lodge,8.5
Esmeraldas,Facilities,8.7,Hotel Oceanic Lodge,8.5
Esmeraldas,Cleanliness,8.8,Hotel Oceanic Lodge,8.5
Esmeraldas,Comfort,9.0,Hotel Oceanic Lodge,8.5
Esmeraldas,Value for money,8.2,Hotel Oceanic Lodge,8.5
Esmeraldas,Location,7.9,Hotel Oceanic Lodge,8.5
Esmeraldas,Free WiFi,7.5,Hotel Oceanic Lodge,8.5
Esmeraldas,Staff,9.5,Seaside Garden Ecolodge Mompiche,9.0
Esmeraldas,Facilities,8.8,Seaside Garden Ecolodge Mompiche,9.0
Esmeraldas,Cleanliness,8.9,Seaside Garden Ecolodge Mompiche,9.0
Esmeraldas,Comfort,9.2,Seaside Garden Ecolodge Mompiche,9.0
Esmeraldas,Value for money,9.1,Seaside Garden Ecolodge Mompiche,9.0
Esmeraldas,Location,8.9,Seaside Garden Ecolodge Mompiche,9.0
Esmeraldas,Free WiFi,6.4,Seaside Garden Ecolodge Mompiche,9.0
Esmeraldas,Staff,9.2,Hotel RC Tonsupa,8.6
Esmeraldas,Facilities,8.6,Hotel RC Tonsupa,8.6
Esmeraldas,Cleanliness,9.0,Hotel RC Tonsupa,8.6
Esmeraldas,Comfort,8.8,Hotel RC Tonsupa,8.6
Esmeraldas,Value for money,8.5,Hotel RC Tonsupa,8.6
Esmeraldas,Location,7.9,Hotel RC Tonsupa,8.6
Esmeraldas,Free WiFi,7.2,Hotel RC Tonsupa,8.6
Esmeraldas,Staff,9.3,Departamento Frente al Mar Diamond Beach,9.4
Esmeraldas,Facilities,9.4,Departamento Frente al Mar Diamond Beach,9.4
Esmeraldas,Cleanliness,9.4,Departamento Frente al Mar Diamond Beach,9.4
Esmeraldas,Comfort,9.5,Departamento Frente al Mar Diamond Beach,9.4
Esmeraldas,Value for money,9.2,Departamento Frente al Mar Diamond Beach,9.4
Esmeraldas,Location,9.8,Departamento Frente al Mar Diamond Beach,9.4
Esmeraldas,Staff,8.7,Hotel Almond Beach,8.7
Esmeraldas,Facilities,8.7,Hotel Almond Beach,8.7
Esmeraldas,Cleanliness,8.9,Hotel Almond Beach,8.7
Esmeraldas,Comfort,8.9,Hotel Almond Beach,8.7
Esmeraldas,Value for money,8.5,Hotel Almond Beach,8.7
Esmeraldas,Location,8.6,Hotel Almond Beach,8.7
Esmeraldas,Free WiFi,7.5,Hotel Almond Beach,8.7
Esmeraldas,Staff,9.2,Cabañas Ecologicas Cayapas,8.9
Esmeraldas,Facilities,8.5,Cabañas Ecologicas Cayapas,8.9
Esmeraldas,Cleanliness,8.9,Cabañas Ecologicas Cayapas,8.9
Esmeraldas,Comfort,8.9,Cabañas Ecologicas Cayapas,8.9
Esmeraldas,Value for money,8.7,Cabañas Ecologicas Cayapas,8.9
Esmeraldas,Location,9.5,Cabañas Ecologicas Cayapas,8.9
Esmeraldas,Free WiFi,8.2,Cabañas Ecologicas Cayapas,8.9
Esmeraldas,Staff,8.8,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,7.5
Esmeraldas,Facilities,7.9,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,7.5
Esmeraldas,Cleanliness,8.7,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,7.5
Esmeraldas,Comfort,8.4,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,7.5
Esmeraldas,Value for money,7.3,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,7.5
Esmeraldas,Location,8.6,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,7.5
Esmeraldas,Staff,9.2,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1
Esmeraldas,Facilities,9.1,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1
Esmeraldas,Cleanliness,9.5,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1
Esmeraldas,Comfort,9.5,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1
Esmeraldas,Value for money,8.9,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1
Esmeraldas,Location,9.2,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1
Esmeraldas,Free WiFi,10,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1
Esmeraldas,Staff,9.2,Tonsupa Diamond Beach Apart - Hotel,8.7
Esmeraldas,Facilities,8.6,Tonsupa Diamond Beach Apart - Hotel,8.7
Esmeraldas,Cleanliness,8.9,Tonsupa Diamond Beach Apart - Hotel,8.7
Esmeraldas,Comfort,9.0,Tonsupa Diamond Beach Apart - Hotel,8.7
Esmeraldas,Value for money,8.7,Tonsupa Diamond Beach Apart - Hotel,8.7
Esmeraldas,Location,9.6,Tonsupa Diamond Beach Apart - Hotel,8.7
Esmeraldas,Free WiFi,7.5,Tonsupa Diamond Beach Apart - Hotel,8.7
Esmeraldas,Staff,9.3,Aparthotel Oleaje,8.9
Esmeraldas,Facilities,8.8,Aparthotel Oleaje,8.9
