id,provincia,lugares,distancia
1,Esmeraldas,Parque Cojimíes,16 km
1,Esmeraldas,RestaurantSuly's Pasta Grill & Bar,50 m
1,Esmeraldas,RestaurantEl Económico,150 m
1,Esmeraldas,RestaurantAtardecer de Mompiche,150 m
1,Esmeraldas,Mompiche Beach,50 m
1,Esmeraldas,Playa de Portete,3.5 km
1,Esmeraldas,Colonel Carlos Concha Torres Airport,68 km
2,Esmeraldas,Parque Las Palmas,250 m
2,Esmeraldas,Parque mina de piedra,500 m
2,Esmeraldas,Refinerìa Petroecuador Esmeraldas,2.9 km
2,Esmeraldas,Parque Infantil,3 km
2,Esmeraldas,cancha,3.1 km
2,Esmeraldas,Estadio Folke Anderson,3.2 km
2,Esmeraldas,Campo de Futbol,3.4 km
2,Esmeraldas,Cancha,3.5 km
2,Esmeraldas,Parque San Jose Obrero,3.6 km
2,Esmeraldas,parque Iglesia San Jose de Obreo,3.6 km
2,Esmeraldas,RestaurantPizzería La Cascada de Tony,40 m
2,Esmeraldas,Cafe/barKaraoke Gio´s,100 m
2,Esmeraldas,Cafe/barLa canchita,200 m
2,Esmeraldas,Playa Las Palmas,150 m
2,Esmeraldas,Colonel Carlos Concha Torres Airport,3.9 km
3,Esmeraldas,Cancha de juego del Colegio Pierre,700 m
3,Esmeraldas,cleared area,6 km
3,Esmeraldas,RestaurantHot Dog Crocante,10 m
3,Esmeraldas,RestaurantSeaquarium,40 m
3,Esmeraldas,RestaurantKike's,50 m
3,Esmeraldas,Atacames Beach,10 m
3,Esmeraldas,Tonsupa Beach,3.7 km
3,Esmeraldas,Same Beach,8 km
3,Esmeraldas,Colonel Carlos Concha Torres Airport,28 km
4,Esmeraldas,Cancha de juego del Colegio Pierre,7 km
4,Esmeraldas,cleared area,13 km
4,Esmeraldas,Cancha de Futbol,14 km
4,Esmeraldas,Redondel de Codesa,15 km
4,Esmeraldas,Parque de Codesa,15 km
4,Esmeraldas,Campo de Futbol,15 km
4,Esmeraldas,Refinerìa Petroecuador Esmeraldas,16 km
4,Esmeraldas,Cancha,17 km
4,Esmeraldas,Parque Roberto Luis Cervantes,17 km
4,Esmeraldas,Estadio Folke Anderson,17 km
4,Esmeraldas,RestaurantCamarón Dorado,350 m
4,Esmeraldas,RestaurantAiru,1.2 km
4,Esmeraldas,Cafe/barCocktails Bar,1.7 km
4,Esmeraldas,Tonsupa Beach,100 m
4,Esmeraldas,Atacames Beach,5 km
4,Esmeraldas,Colonel Carlos Concha Torres Airport,21 km
5,Esmeraldas,Cancha de juego del Colegio Pierre,6 km
5,Esmeraldas,cleared area,12 km
5,Esmeraldas,Cancha de Futbol,15 km
5,Esmeraldas,Redondel de Codesa,15 km
5,Esmeraldas,Parque de Codesa,16 km
5,Esmeraldas,Campo de Futbol,16 km
5,Esmeraldas,Refinerìa Petroecuador Esmeraldas,17 km
5,Esmeraldas,Cancha,18 km
5,Esmeraldas,Parque Roberto Luis Cervantes,18 km
5,Esmeraldas,Estadio Folke Anderson,18 km
5,Esmeraldas,RestaurantAiru,400 m
5,Esmeraldas,RestaurantCamarón Dorado,600 m
5,Esmeraldas,Cafe/barCocktails Bar,850 m
5,Esmeraldas,Tonsupa Beach,0 m
5,Esmeraldas,Atacames Beach,4.5 km
5,Esmeraldas,Colonel Carlos Concha Torres Airport,22 km
6,Esmeraldas,Cancha de juego del Colegio Pierre,5 km
6,Esmeraldas,cleared area,12 km
